agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c54,10,0.04079723786562678,0.012080690568233044,0.0038202497903330195,0.0183299388736486,0.0537848621606826,0.0443548373878002,0.03232021862640973,0.049173650331795174,DQNAgent,,0.99,69240.0,0.261103,0.541115,,,4.60738e-06,14.5011,,,64.0,32768,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,512,1,7,0,1000000,31,True,32
DQNAgent,sweep_c84,10,0.039538713544607106,0.007533744117351222,0.0023823790719724714,0.0283975657075643,0.0521042086184024,0.04133064486086365,0.03341335058212275,0.04393939487636087,DQNAgent,,0.99,282104.0,0.0781935,0.609249,,,5.63767e-05,4.16094,,,1024.0,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,8,0,1000000,40,True,8
DQNAgent,sweep_c74,10,0.039499072916805704,0.011876030019997699,0.003755530442372775,0.0203252024948596,0.0640000030398368,0.0404040403664112,0.034882295876741326,0.0423174127936363,DQNAgent,,0.99,191636.0,0.193458,0.743223,,,1.57199e-06,11.1731,,,64.0,4096,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,6,0,1000000,40,True,1024
DQNAgent,sweep_c65,10,0.038252818770706604,0.013443831993282876,0.004251312957941537,0.0243902429938316,0.0599999986588954,0.03322988934814925,0.028311512898653676,0.05019654799252743,DQNAgent,,0.99,451601.0,0.0149477,0.673547,,,3.54391e-05,13.3714,,,512.0,4096,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,2,0,1000000,27,True,32
RMaxAgent,sweep_c80,10,0.037744765169918496,0.015269821339755798,0.004828741489747215,0.0223577227443456,0.0616302192211151,0.030425963923335,0.026289261411875427,0.0523960506543517,RMaxAgent,7.09087e-08,0.99,,,,,94.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,0,0,1000000,1,True,0
RMaxAgent,sweep_c43,10,0.037744765169918496,0.015269821339755796,0.004828741489747214,0.0223577227443456,0.0616302192211151,0.030425963923335,0.026289261411875427,0.0523960506543517,RMaxAgent,9.58152e-07,0.99,,,,,94.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,7,0,1000000,1,True,0
DQNAgent,sweep_c27,10,0.03770539797842498,0.00975578222736528,0.0030850492195064936,0.0203665979206562,0.052208837121725,0.0383451450616121,0.03290931880474085,0.0437838733196258,DQNAgent,,0.99,197911.0,0.0183381,0.909988,,,0.000371916,4.43643,,,32768.0,4096,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,64,1,6,0,1000000,18,True,64
DQNAgent,sweep_c39,10,0.03743707668036217,0.013979688549464327,0.004420765679608273,0.0203252024948596,0.0579999983310699,0.037337079644203144,0.025251712184399325,0.047115385532379095,DQNAgent,,0.99,452885.0,0.0459855,0.831229,,,5.93709e-05,12.0296,,,256.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,512,1,1,0,1000000,33,True,512
RMaxAgent,sweep_c88,10,0.03717902097851032,0.015114351371801752,0.004779577569098398,0.0203252024948596,0.0673267319798469,0.03229064866900435,0.025883775204420048,0.0441457526758313,RMaxAgent,1.51187e-05,0.99,,,,,104.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,1,0,1000000,1,True,0
DQNAgent,sweep_c87,10,0.037121775373816425,0.012523174175152196,0.003960175392848136,0.0142566189169883,0.0561122260987758,0.03636363521218295,0.029378982726484475,0.04730601329356425,DQNAgent,,0.99,306167.0,0.0512173,0.561238,,,8.55336e-05,2.14559,,,256.0,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,512,1,7,0,1000000,24,True,8192
DQNAgent,sweep_c75,10,0.03614571113139386,0.00822662855952855,0.0026014883712300305,0.0223577227443456,0.0461847372353076,0.037375930696725804,0.029866722878068623,0.04334677290171383,DQNAgent,,0.99,405451.0,0.128838,0.90819,,,3.24626e-06,6.23034,,,2048.0,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,1024,1,8,0,1000000,38,True,256
DQNAgent,sweep_c20,10,0.03506853207945819,0.011456893803326458,0.0036229879329180794,0.016293279826641,0.0541082173585891,0.03919500857591625,0.030379769857972798,0.04038367513567208,DQNAgent,,0.99,348181.0,0.0414736,0.791281,,,0.000236929,2.56856,,,64.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,2,0,1000000,45,True,256
RMaxAgent,sweep_c49,10,0.03362402105703946,0.017662446915591986,0.0055853561305086435,0.0142857143655419,0.0700000002980232,0.0303031532093882,0.0188671592622995,0.044126483611762496,RMaxAgent,2.81269e-09,0.99,,,,,71.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,3,0,1000000,1,True,0
DQNAgent,sweep_c80,10,0.03311758805066344,0.008849708126230711,0.0027985234306589944,0.0203665979206562,0.0481927692890167,0.03036039974540465,0.026861895807087376,0.0407810490578413,DQNAgent,,0.99,161334.0,0.0226179,0.910383,,,0.000701115,1.17783,,,16384.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,6,0,1000000,47,True,2
DQNAgent,sweep_c26,10,0.03243102580308909,0.007090226355231563,0.002242126440868584,0.0224489793181419,0.0463709682226181,0.0304568847641348,0.0284552853554487,0.0359519161283969,DQNAgent,,0.99,493012.0,0.250092,0.690849,,,0.0104709,13.6568,,,32768.0,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,0,0,1000000,46,True,2048
DQNAgent,sweep_c57,10,0.03232507985085246,0.015063597778788924,0.004763527873762623,0.0182926822453737,0.0642570257186889,0.02543341089040035,0.022887636907398676,0.0373557559214532,DQNAgent,,0.99,70216.0,0.108941,0.575661,,,0.00353986,4.56086,,,4096.0,65536,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,64,1,9,0,1000000,38,True,32
DQNAgent,sweep_c59,10,0.03159147333353752,0.008247514276414918,0.002608093014822667,0.0122699383646249,0.0425963476300239,0.0333988964557647,0.030837794765829974,0.035931173712015124,DQNAgent,,0.99,499214.0,0.0496087,0.505318,,,1.6002e-05,11.9681,,,256.0,16384,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,7,0,1000000,36,True,8192
DQNAgent,sweep_c9,10,0.03016110546886916,0.009133917711675207,0.002888398392944679,0.016293279826641,0.0423387102782726,0.031409366056322996,0.024344049859791925,0.03735052887350315,DQNAgent,,0.99,368119.0,0.0885371,0.644859,,,4.21303e-05,1.32736,,,2048.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,7,0,1000000,38,True,16
DQNAgent,sweep_c95,10,0.029717233590781638,0.011016193102716466,0.0034836261348821264,0.0142566189169883,0.050200805068016,0.028366769663989502,0.02086437912657855,0.03778134379535908,DQNAgent,,0.99,382715.0,0.0909418,0.518366,,,6.89546e-06,5.80176,,,4096.0,65536,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,2,0,1000000,35,True,8192
DQNAgent,sweep_c98,10,0.028988725412636945,0.010118711855138216,0.0031998176449184517,0.0142857143655419,0.0463709682226181,0.03045482281595465,0.022323710378259375,0.03589341603219508,DQNAgent,,0.99,21997.0,0.0809723,0.797075,,,0.00513191,5.16973,,,1024.0,65536,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,16,1,9,0,1000000,41,True,256
RMaxAgent,sweep_c89,10,0.02768603311851615,0.011629595937747698,0.003677601143072448,0.0102249486371874,0.0541082173585891,0.02431017439812415,0.0223123729228973,0.03131313249468795,RMaxAgent,1.271e-08,0.99,,,,,72.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,5,0,1000000,1,True,0
DQNAgent,sweep_c86,10,0.025979949068278024,0.008291431661464658,0.002621980911386247,0.0122448978945612,0.0403225794434547,0.0243902429938316,0.0208955528214573,0.032363265752792275,DQNAgent,,0.99,121356.0,0.0682467,0.979805,,,4.05978e-05,9.94307,,,16384.0,8192,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,8,0,1000000,5,True,2048
DQNAgent,sweep_c29,10,0.02595541644841427,0.008734697701443502,0.0027621539409598875,0.0142566189169883,0.0424242429435253,0.0223577227443456,0.020821995101869023,0.02936557075008745,DQNAgent,,0.99,251643.0,0.0271267,0.683939,,,0.000214039,14.0129,,,512.0,16384,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,64,1,2,0,1000000,34,True,32
